2022-05-20 11:26:31,012 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//button[@class='el-dialog__headerbtn']")
2022-05-20 11:26:32,067 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:32,067 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:33,091 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索1修改
2022-05-20 11:26:33,091 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//input[@placeholder='线索名称']")
2022-05-20 11:26:33,112 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//input[@placeholder='线索名称']")清空
2022-05-20 11:26:33,150 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索1修改
2022-05-20 11:26:33,150 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:33,150 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:35,182 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', '(//tr/td)[2]/div')的文本
2022-05-20 11:26:35,182 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', '(//tr/td)[2]/div')
2022-05-20 11:26:36,195 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:36,195 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:36,240 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//button/span[contains(text(), '废弃')]")
2022-05-20 11:26:36,240 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//button/span[contains(text(), '废弃')]")
2022-05-20 11:26:36,320 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//textarea[contains(@class, 'el-textarea__inner')]")输入内容:废弃
2022-05-20 11:26:36,320 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//textarea[contains(@class, 'el-textarea__inner')]")
2022-05-20 11:26:36,353 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//textarea[contains(@class, 'el-textarea__inner')]")清空
2022-05-20 11:26:36,397 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//textarea[contains(@class, 'el-textarea__inner')]")输入内容:废弃
2022-05-20 11:26:36,397 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '确定')]")
2022-05-20 11:26:36,397 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '确定')]")
2022-05-20 11:26:37,472 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:37,472 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:37,515 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '重置')]")
2022-05-20 11:26:37,515 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '重置')]")
2022-05-20 11:26:38,866 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:38,866 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:39,875 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索2
2022-05-20 11:26:39,875 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//input[@placeholder='线索名称']")
2022-05-20 11:26:39,886 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//input[@placeholder='线索名称']")清空
2022-05-20 11:26:39,924 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索2
2022-05-20 11:26:39,924 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:39,924 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:41,955 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', '(//tr/td)[2]/div')的文本
2022-05-20 11:26:41,955 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', '(//tr/td)[2]/div')
2022-05-20 11:26:42,973 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:42,973 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:42,988 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '批量指派')]")
2022-05-20 11:26:42,989 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '批量指派')]")
2022-05-20 11:26:44,056 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:44,056 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:45,085 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:45,085 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:46,104 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索3
2022-05-20 11:26:46,104 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//input[@placeholder='线索名称']")
2022-05-20 11:26:46,133 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//input[@placeholder='线索名称']")清空
2022-05-20 11:26:46,176 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索3
